country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10016,10016010,陽明里,X010000551,北辰公有市場二樓後女廁,澎湖縣馬公市陽明里,縣市政府,23.571269,119.57256,特優級,,女廁所,馬公市公所,0
10016,10016010,陽明里,X010000550,北辰公有市場二樓後男廁,澎湖縣馬公市陽明里,縣市政府,23.571269,119.57256,特優級,,男廁所,馬公市公所,0
10016,10016010,陽明里,X010000549,北辰公有市場二樓前女廁,澎湖縣馬公市陽明里,縣市政府,23.57217,119.572509,特優級,,女廁所,馬公市公所,0
10016,10016010,陽明里,X010000548,北辰公有市場二樓前男廁,澎湖縣馬公市陽明里,縣市政府,23.57217,119.572509,特優級,,男廁所,馬公市公所,0
10016,10016040,二崁村,X040000082,西嶼大菓葉親子廁所,澎湖縣西嶼鄉海巡署大菓葉站旁,交通部,23.60544,119.519616,特優級,觀光地區及風景區,親子廁所,澎湖國家風景區管理處,0
10016,10016040,二崁村,X040000081,西嶼大菓葉無障礙廁,澎湖縣西嶼鄉海巡署大菓葉站旁,交通部,23.60544,119.519616,特優級,觀光地區及風景區,無障礙廁所,澎湖國家風景區管理處,0
10016,10016040,二崁村,X040000080,西嶼大菓葉女廁,澎湖縣西嶼鄉海巡署大菓葉站旁,交通部,23.60544,119.519616,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處,0
10016,10016040,二崁村,X040000079,西嶼大菓葉男廁,澎湖縣西嶼鄉海巡署大菓葉站旁,交通部,23.60544,119.519616,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處,0
10016,10016010,西文里,X010000557,澎湖國際廣場北側無障礙廁,澎湖縣馬公市西文里新店路,縣市政府,23.56668167,119.5777273,特優級,公園,無障礙廁所,澎湖縣政府建設處,0
10016,10016010,西文里,X010000556,澎湖國際廣場北側女廁,澎湖縣馬公市西文里,縣市政府,23.56669151,119.5776415,特優級,公園,女廁所,澎湖縣政府建設處,0
10016,10016010,西文里,X010000555,澎湖國際廣場北側男廁,澎湖縣馬公市西文里新店路,縣市政府,23.56679476,119.5776361,特優級,公園,男廁所,澎湖縣政府建設處,0
10016,10016010,陽明里,X010000554,澎湖國際廣場南側無障礙廁,澎湖縣馬公市陽明里新店路(喜來登飯店旁),縣市政府,23.56749789,119.5763648,特優級,公園,無障礙廁所,澎湖縣政府建設處,0
10016,10016010,陽明里,X010000553,澎湖國際廣場南側女廁,澎湖縣馬公市陽明里新店路(喜來登飯店旁),縣市政府,23.56738972,119.5765471,特優級,公園,女廁所,澎湖縣政府建設處,0
10016,10016010,陽明里,X010000552,澎湖國際廣場南側男廁,澎湖縣馬公市陽明里新店路一九七號,縣市政府,23.5670947,119.5777917,特優級,公園,男廁所,澎湖縣政府建設處,0
10016,10016010,虎井里,X010000559,虎井活動中心女廁,澎湖縣馬公市虎井里,縣市政府,23.48653473,119.5162082,優等級,社福機構、集會場所,女廁所,馬公市公所,0
10016,10016010,虎井里,X010000558,虎井活動中心男廁,澎湖縣馬公市虎井里,縣市政府,23.48651013,119.5161653,優等級,社福機構、集會場所,混合廁所,馬公市公所,0
10016,10016040,池東村,X040000084,池東公有零售市場女廁,澎湖縣西嶼鄉池東村,縣市政府,23.602519,119.510334,特優級,,女廁所,西嶼鄉公所,0
10016,10016040,池東村,X040000083,池東公有零售市場男廁,澎湖縣西嶼鄉池東村,縣市政府,23.602519,119.510334,特優級,,男廁所,西嶼鄉公所,0
10016,10016020,龍門村,X020000131,龍門社區公廁無障礙廁,澎湖縣湖西鄉龍門村,其他,23.56539,119.675994,優等級,社福機構、集會場所,無障礙廁所,湖西鄉公所,0
10016,10016020,龍門村,X020000130,龍門社區公廁女廁,澎湖縣湖西鄉龍門村,其他,23.56539,119.675994,優等級,社福機構、集會場所,女廁所,湖西鄉公所,0
10016,10016020,龍門村,X020000129,龍門社區公廁男廁,澎湖縣湖西鄉龍門村,其他,23.56539,119.675994,優等級,社福機構、集會場所,男廁所,湖西鄉公所,0
10016,10016020,湖西村,X020000030,湖西生態園區公廁,澎湖縣湖西鄉湖西村,其他,23.585684,119.659354,優等級,文化育樂活動場所,混合廁所,湖西鄉公所,0
10016,10016010,復興里,X010000011,馬公港旅客服務中心二樓女廁,澎湖縣馬公市復興里臨海路36-1號,其他,23.56307,119.564464,特優級,,女廁所,臺灣港務股份有限公司高雄港務公司,0
10016,10016010,復興里,X010000010,馬公港旅客服務中心二樓男廁,馬公市復興里臨海路36-1號,其他,23.56313893,119.564783,特優級,,男廁所,臺灣港務股份有限公司高雄港務公司,0
10016,10016020,林投村,X020000117,林投公園殘廁2(北側),湖西鄉林投村1-1號,交通部,23.56154822,119.641993,特優級,公園,無障礙廁所,澎湖國家風景區管理處,0
10016,10016020,林投村,X020000116,林投公園女廁2(北側),湖西鄉林投村1-1號,交通部,23.56150889,119.6419823,特優級,公園,女廁所,澎湖國家風景區管理處,0
10016,10016020,林投村,X020000115,林投公園男廁2(北側),湖西鄉林投村1-1號,交通部,23.56152855,119.6420145,特優級,公園,男廁所,澎湖國家風景區管理處,0
10016,10016010,中興里,X010000096,澎湖縣長青活動中心殘廁,澎湖縣馬公市介壽路7-1號,縣市政府,23.567373,119.561568,特優級,社福機構、集會場所,無障礙廁所,澎湖縣長青活動中心,0
10016,10016040,內垵村,X040000061,東昌營區公廁女廁,澎湖縣西嶼鄉內垵村,交通部,23.5687763,119.5065737,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處北海管理站,0
10016,10016040,內垵村,X040000060,東昌營區公廁男廁,澎湖縣西嶼鄉內垵村,交通部,23.56865829,119.5068955,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處北海管理站,0
10016,10016040,橫礁村,X040000002,漁翁島遊客中心女廁,澎湖縣西嶼鄉1之2號,交通部,23.639695,119.540802,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處,0
10016,10016040,橫礁村,X040000001,漁翁島遊客中心男廁,澎湖縣西嶼鄉1之2號,交通部,23.639695,119.540802,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處,0
10016,10016010,東衛里,X010000477,東衛石雕公園殘廁,澎湖縣馬公市東衛里,交通部,23.5710184,119.597683,特優級,觀光地區及風景區,無障礙廁所,澎湖國家風景區管理處,0
10016,10016010,東衛里,X010000476,東衛石雕公園女廁,澎湖縣馬公市東衛里,交通部,23.568533,119.598196,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處,0
10016,10016010,東衛里,X010000475,東衛石雕公園男廁,澎湖縣馬公市東衛里,交通部,23.57068897,119.5978546,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處,0
10016,10016010,光華里,X010000419,澎湖休憩園區殘廁3(花海區),澎湖縣馬公市光華里,縣市政府,23.55795862,119.6071029,特優級,公園,無障礙廁所,林務公園管理所,0
10016,10016010,光華里,X010000418,澎湖休憩園區女廁3(花海區),澎湖縣馬公市光華里,縣市政府,23.55749,119.600633,特優級,公園,女廁所,林務公園管理所,0
10016,10016010,光華里,X010000417,澎湖休憩園區男廁3(花海區),澎湖縣馬公市光華里,縣市政府,23.55784061,119.6073818,特優級,公園,男廁所,林務公園管理所,0
10016,10016010,光華里,X010000416,澎湖休憩園區殘廁2(林務所旁),澎湖縣馬公市光華里,縣市政府,23.55795862,119.6042061,特優級,公園,無障礙廁所,林務公園管理所,0
10016,10016060,中和村,X060000004,七美鄉公所男廁,澎湖縣七美鄉中和村2鄰10號,縣市政府,23.20661361,119.4244874,特優級,,男廁所,七美鄉公所,0
